patient_id,patient_name,patient_sex,patient_birth,patient_phone
855,이은정,여자,1988-10-08,01079357476
653,박상철,남자,1961-01-07,0105573505
824,한유진,남자,1968-10-01,01083552189
157,송성진,남자,1946-06-13,01080520907
337,백영숙,남자,1942-05-03,01074160764
785,박종수,남자,1986-09-28,01081404183
323,이정순,남자,1945-12-04,01098236648
998,차지혜,남자,1950-07-13,0103410376
737,홍준호,남자,1997-02-14,01059930769
75,박영진,여자,1972-03-11,0103841079
93,한현준,남자,1986-04-14,01063722492
489,박미경,여자,1963-06-24,01071271707
601,이상철,남자,1985-02-10,01015642570
396,김주원,여자,1942-06-27,01047056474
710,김은지,남자,1985-01-02,01077341739
501,이승민,여자,1994-02-20,01098531369
888,박은서,여자,1964-06-07,01013799786
702,박영일,여자,1941-09-10,01011216343
696,장명자,여자,1965-12-12,01024561488
573,김건우,여자,1977-12-23,01061380199
57,김미정,남자,1982-10-11,01073699051
77,백영환,남자,1984-10-12,01076739101
744,박현주,남자,1944-06-27,01061221797
512,박성훈,남자,1977-02-15,01022464700
179,이성호,남자,1947-11-13,0104620550
82,박지은,남자,1960-02-02,01087200090
334,전숙자,남자,1951-10-09,01040263913
831,장영길,여자,1940-10-20,01025886998
98,주지아,남자,1962-10-21,0105013806
148,김정숙,남자,1950-06-27,01028909293
951,이승현,남자,1935-02-14,01085964145
69,주수진,여자,1996-11-13,01020047687
343,김명숙,남자,1955-06-10,01011042111
706,김영호,여자,1963-11-22,01078727369
730,박성진,여자,1947-03-28,01087489917
1000,노재호,여자,1992-05-20,0103298173
646,박준서,남자,1986-04-29,01040301620
679,이지연,여자,1965-03-07,01055636990
532,이시우,남자,1935-05-25,01022694526
906,김은영,남자,1982-11-11,01076296511
647,장영식,남자,1951-06-18,01047659559
916,이성현,여자,1940-12-29,01013858159
540,박채원,여자,1942-06-12,01045440033
748,김준영,여자,1962-02-06,01077616634
500,송상호,남자,1969-05-12,01036617169
614,오예준,여자,1964-12-11,01057154260
803,안준영,여자,1972-12-21,0103320088
764,배영자,여자,1967-06-28,01061583103
439,이준호,남자,1981-08-06,01075850416
344,성현숙,여자,1936-09-19,01033164696
31,이민석,여자,1948-05-15,01048051198
780,최영희,여자,1943-12-05,01017211186
593,양서윤,남자,2005-03-25,01058642747
45,최시우,남자,1970-11-11,01035984960
838,안영일,남자,1986-06-21,0104693911
450,박서윤,남자,1938-05-03,01061576043
11,이은영,여자,1947-04-14,01069572816
197,김예원,남자,1969-03-29,01068954577
86,최순자,여자,1961-07-22,01064454531
836,강정자,여자,1940-04-07,01012149800
955,최성민,남자,2001-08-05,01097246587
756,오민석,남자,1980-07-31,0105279607
43,김숙자,여자,1957-10-07,01062261383
625,김미경,여자,1997-06-26,01074148122
980,안숙자,남자,1969-07-18,01052459527
281,강영식,남자,1972-02-28,01073484135
635,윤주원,여자,1974-12-25,01047799874
508,전우진,남자,1933-09-20,01054709787
190,허민서,여자,1986-05-10,0103147510
339,백영순,여자,1991-12-14,01035921676
978,이지아,남자,2004-05-11,01072588289
999,최은정,남자,1954-10-07,01028176691
518,임민수,남자,1967-06-16,01066914312
582,손영식,남자,1946-09-15,010318549
17,서수민,남자,1973-09-06,01066479970
838,우정식,여자,1989-01-23,01018513401
846,이정훈,남자,2003-03-25,0105108664
229,이하은,남자,1963-10-28,01027780941
599,박현주,남자,1975-07-21,01034774587
247,최우진,남자,2000-06-27,01069069049
95,박예원,여자,1984-07-04,01056048905
382,이건우,여자,1951-06-02,01021211588
256,김영일,여자,1995-12-22,0109945434
429,김은서,남자,1997-04-02,0104997601
44,박하은,여자,1991-03-16,01022069295
412,류민재,남자,1933-03-11,01037710937
374,최윤서,남자,1940-12-04,01012495620
860,이건우,남자,2004-01-28,01039695008
167,김순옥,남자,1984-03-13,01038827123
783,김혜진,남자,1967-07-17,01096150741
558,김도윤,남자,1934-10-09,01077551299
84,차서준,여자,1979-07-20,01098318841
831,김준혁,여자,1987-04-17,01068423230
309,박경자,남자,1937-02-11,01086165367
307,박경희,여자,1984-02-04,01086836058
931,김은주,여자,1987-05-29,01025129293
390,박정순,남자,1976-03-22,01039039511
188,박민재,남자,1988-01-28,01085788706
31,김준영,남자,1999-04-29,0103833712
327,심진호,남자,1983-11-11,01074012611
383,김정남,남자,1957-08-28,01053762457
47,박종수,여자,1934-07-06,01026527095
146,류예준,여자,1959-08-20,01093585023
429,권경숙,여자,1961-03-17,01089372094
621,김예준,여자,1968-09-13,01044989866
89,유성훈,남자,1946-11-09,01053274369
462,이지아,여자,1963-04-02,01090638170
270,김성현,여자,1986-04-27,01019740458
560,정순자,여자,2002-01-25,01058777481
979,성광수,남자,1998-05-27,01079725800
188,이영호,여자,1967-06-14,0101652506
347,강민재,남자,1988-06-27,01016045256
935,이준영,여자,1956-12-20,01044755390
388,최우진,여자,1983-11-07,01029944712
119,박현지,남자,1946-08-12,0108984059
958,이영식,여자,1971-04-14,01031801672
992,이옥자,남자,1982-08-12,01025290139
823,손정호,여자,1981-07-28,01022672684
513,백경희,여자,1957-03-31,01092052617
745,장예준,남자,1948-01-07,01026468632
883,김준호,여자,1989-07-01,01037737105
587,황지아,여자,1977-10-10,01018904421
249,김혜진,남자,1966-01-22,01084270540
388,이미숙,남자,1976-04-16,01099976262
966,김현우,남자,2000-12-30,01037462576
201,송상훈,여자,1957-11-02,01095601440
990,배영희,여자,1959-09-03,01023093213
413,손정식,남자,1965-02-15,01050482108
910,이도윤,여자,1951-06-02,01090750384
430,김영미,남자,1993-11-15,01028953102
137,김아름,여자,1980-12-05,01099158233
889,이종수,여자,2005-04-26,01039702039
507,박옥자,남자,1975-11-05,01042852839
820,유진우,남자,1989-02-17,01025211012
329,서중수,여자,1943-09-02,01095182589
419,김영일,남자,1943-11-24,01080639152
145,김정수,여자,1935-06-12,01031922995
380,김종수,남자,1980-05-02,0109203578
177,강정식,여자,1933-11-08,01082899893
546,김민준,여자,1934-02-03,01086762013
190,김영철,남자,1943-09-19,01016874210
739,이영숙,여자,1959-11-29,01072991209
582,이민재,여자,1981-09-17,01071303188
261,황광수,남자,1947-04-11,0104593401
922,강윤서,남자,1933-07-05,01061286908
808,황영자,남자,1958-04-01,01098332711
186,이민석,남자,1964-03-26,01065091010
914,김민석,남자,1983-07-12,01059147997
422,양선영,여자,1973-09-28,01061681641
854,박영철,여자,1977-09-18,0106515901
773,김영수,여자,1990-04-19,01028687537
151,서옥순,여자,1987-07-01,01064158726
528,김중수,남자,1985-04-07,01033175596
466,장예지,여자,1954-05-01,01072699052
328,주순자,여자,1990-10-20,01078362645
145,김영미,남자,2002-02-16,010780269
820,김하윤,여자,1969-02-14,01037218130
711,최수진,남자,1994-07-01,01080382853
224,이수진,여자,1955-03-23,01016501166
414,김현지,여자,1946-04-22,01067504771
204,권미정,여자,1941-03-04,01099290692
902,민민수,여자,1964-12-11,01012974898
688,김현주,여자,1949-04-11,01096551364
288,박경자,남자,1999-04-11,01079314006
121,손영자,남자,1993-09-14,0105494124
740,성건우,남자,1989-03-25,01056180585
826,박서윤,남자,1981-01-17,01074913823
718,안진호,남자,1973-05-23,01024393837
322,김민준,남자,2005-08-20,01043884
452,박춘자,여자,1963-11-03,01015499890
956,이미숙,여자,1961-07-19,01083285533
395,김미영,남자,1947-09-27,01087444193
113,문정훈,남자,1942-09-17,01066183004
443,이시우,여자,1952-12-01,01011279443
303,홍성현,남자,1933-01-08,01095718007
996,강영식,여자,1937-10-12,01090420286
402,임성진,남자,1938-02-11,01081557413
591,이시우,남자,1943-04-17,01085150561
412,김지훈,여자,1974-06-21,01051416171
609,강수진,남자,1950-04-08,01078852943
196,이옥순,남자,2004-04-27,01099932109
812,손경수,여자,1949-05-28,01053195218
611,박영환,여자,1990-07-10,01096907909
829,김지우,여자,1952-05-12,01016932497
711,서영진,여자,1963-11-01,01078419958
216,박주원,남자,2001-10-20,01059749910
168,이정남,여자,1978-09-10,01038873410
466,김예은,여자,1958-06-30,0103325158
646,안영자,남자,1960-04-15,0103523415
224,박미경,여자,1970-12-07,01033076320
559,홍우진,여자,1942-02-20,01024183824
48,김상호,남자,2005-06-09,01081078353
599,이현우,여자,1960-05-22,01061349675
474,이정남,남자,1953-01-11,01050313602
258,김지원,남자,1998-07-25,01094323433
269,이중수,남자,1940-03-29,01067229244
853,조서윤,여자,1950-11-08,01014239224
839,이경희,여자,1951-11-22,01068945483
463,최순자,여자,2004-05-01,0105833825
498,박선영,남자,1978-03-04,01075295836
658,이미경,여자,2000-09-28,01029551904
344,박서현,남자,1990-03-16,01017074455
567,황우진,여자,2001-10-11,01061885240
770,이지혜,여자,1934-09-08,01029985368
563,강정식,여자,1969-09-04,01079042227
943,박지아,남자,1971-09-27,01079477001
305,김채원,남자,1973-07-22,01018357673
688,장미숙,여자,1991-01-05,01012686713
523,송영수,여자,1934-10-14,0101906792
54,김영희,남자,1966-11-22,01084545100
371,이준서,여자,1944-09-22,01025157631
996,이경희,남자,1949-02-28,01042811870
609,노예준,여자,1992-11-26,01075101880
534,서지원,남자,1983-03-16,01012094665
749,장예진,남자,1970-04-13,01032720623
142,이영식,남자,1948-01-12,01070439748
658,김미영,남자,1936-12-06,01073653681
279,김영수,남자,1944-04-19,01042060999
259,송병철,여자,1999-06-02,01092861570
358,한지훈,여자,1949-11-01,0109008513
939,최지우,여자,2001-08-02,0103829428
6,김은주,남자,1954-09-23,01090799832
225,류민지,남자,1942-07-11,01048052438
318,김아름,여자,1987-09-22,01033849746
581,장예준,여자,1949-10-19,01015945126
766,노영식,남자,1977-01-04,01071922855
823,이지현,남자,1990-03-28,01053031139
669,이현지,여자,1984-07-20,0108892683
527,강경자,남자,1942-05-01,01058019518
9,허민준,여자,1969-08-14,0103213471
205,최서현,여자,1935-10-08,01038300223
918,박경수,남자,1981-09-19,01072465482
453,홍영숙,여자,1959-12-06,0105909540
549,류상현,남자,1977-11-13,0109716567
851,김숙자,여자,1966-03-29,01098187944
32,안하윤,여자,1969-11-07,0105331677
432,강지우,여자,1984-09-24,01088325236
249,정예준,여자,1991-11-21,01059781396
195,안영희,여자,1982-10-28,01031552442
826,곽상호,여자,1942-02-25,01049822892
374,김지우,남자,1973-02-07,01088333000
521,김예지,남자,1946-05-14,01086218687
460,박지우,여자,1963-09-21,01045556318
977,김성민,여자,1974-05-31,01070166727
